mon data pour n=1					
	rho	F(rho)		rho	G(rho)
	3.50E-03	9.37E-03		3.50E-03	-6.97E-05
	3.57E-03	9.58E-03		3.50E-03	-6.63E-05
	3.69E-03	9.90E-03		3.57E-03	-6.73E-05
	3.69E-03	9.90E-03		3.57E-03	-6.00E-05
	3.69E-03	9.90E-03		3.69E-03	-6.20E-05
	3.69E-03	9.90E-03		3.69E-03	-5.80E-05
	3.77E-03	0.010112		3.69E-03	-5.49E-05
	3.89E-03	0.010429		3.77E-03	-5.56E-05
	3.97E-03	0.010641		3.77E-03	-4.92E-05
	3.97E-03	0.010641		3.89E-03	-5.02E-05
	3.97E-03	0.010641		3.89E-03	-4.51E-05
	3.97E-03	0.010641		3.89E-03	-4.37E-05
	4.09E-03	0.010958		3.97E-03	-4.46E-05
	4.16E-03	0.01117		3.97E-03	-3.83E-05
	4.16E-03	0.01117		4.09E-03	-3.90E-05
	4.16E-03	0.01117		4.09E-03	-3.36E-05
	4.16E-03	0.011169		4.16E-03	-3.37E-05
	4.28E-03	0.011487		4.16E-03	-3.32E-05
	4.40E-03	0.011804		4.16E-03	-2.82E-05
	4.48E-03	0.012016		4.28E-03	-2.84E-05
	4.48E-03	0.012016		4.28E-03	-2.28E-05
	4.48E-03	0.012016		4.40E-03	-2.28E-05
	4.60E-03	0.012334		4.40E-03	-1.96E-05
	4.68E-03	0.012546		4.40E-03	-1.97E-05
	4.68E-03	0.012546		4.40E-03	-1.96E-05
	4.68E-03	0.012546		4.40E-03	-1.75E-05
	4.79E-03	0.012863		4.48E-03	-1.79E-05
	4.87E-03	0.013075		4.48E-03	-1.24E-05
	4.99E-03	0.013393		4.60E-03	-1.22E-05
	4.99E-03	0.013393		4.60E-03	-7.20E-06
	4.99E-03	0.013393		4.68E-03	-6.77E-06
	4.99E-03	0.013393		4.68E-03	-2.24E-06
	5.07E-03	0.013605		4.79E-03	-1.73E-06
	5.19E-03	0.013923		4.79E-03	3.48E-06
	5.26E-03	0.014135		4.87E-03	3.54E-06
	5.26E-03	0.014135		4.87E-03	8.26E-06
	5.26E-03	0.014135		4.99E-03	9.05E-06
	5.26E-03	0.014135		4.99E-03	1.39E-05
	5.38E-03	0.014453		5.07E-03	1.41E-05
	5.50E-03	0.014772		5.07E-03	1.84E-05
	5.58E-03	0.014984		5.19E-03	1.94E-05
	5.58E-03	0.014984		5.19E-03	2.44E-05
	5.58E-03	0.014984		5.26E-03	2.48E-05
	5.58E-03	0.014984		5.26E-03	2.80E-05
	5.70E-03	0.015302		5.26E-03	2.86E-05
	5.78E-03	0.015515		5.26E-03	2.93E-05
	5.89E-03	0.015833		5.38E-03	2.99E-05
	5.89E-03	0.015833		5.38E-03	3.45E-05
	5.89E-03	0.015833		5.50E-03	3.59E-05
	5.89E-03	0.015832		5.50E-03	3.99E-05
	5.97E-03	0.016045		5.58E-03	4.11E-05
	6.09E-03	0.016363		5.58E-03	4.52E-05
	6.17E-03	0.016576		5.70E-03	4.68E-05
	6.17E-03	0.016576		5.70E-03	5.10E-05
	6.17E-03	0.016576		5.78E-03	5.17E-05
	6.17E-03	0.016576		5.78E-03	5.38E-05
	6.29E-03	0.016895		5.78E-03	5.59E-05
	6.36E-03	0.017107		5.89E-03	5.77E-05
	6.48E-03	0.017426		5.89E-03	6.13E-05
	6.48E-03	0.017426		5.97E-03	6.28E-05
	6.48E-03	0.017426		5.97E-03	6.72E-05
	6.48E-03	0.017426		6.09E-03	6.85E-05
	6.60E-03	0.017745		6.09E-03	7.29E-05
	6.68E-03	0.017958		6.17E-03	7.38E-05
	6.80E-03	0.018277		6.17E-03	7.76E-05
